Designator,Mid X,Mid Y,Rotation,Layer
C1,71.975,-67.6,0.0,bottom
C10,65.67,-78.48,0.0,bottom
C11,65.71,-73.96,0.0,bottom
C12,69.51,-68.09,90.0,bottom
C13,71.7,-69.13,90.0,bottom
C14,79.26,-70.955,90.0,bottom
C15,78.95,-75.68,180.0,bottom
C16,78.84,-79.31,180.0,bottom
C17,72.81,-83.35,270.0,bottom
C18,69.96,-83.275,270.0,bottom
C19,59.6,-85.395,270.0,bottom
C2,73.645,-67.6,180.0,bottom
C20,55.15,-85.385,270.0,bottom
C21,50.65,-85.425,270.0,bottom
C22,55.13,-81.185,270.0,bottom
C23,50.66,-81.155,270.0,bottom
C24,55.13,-76.975,270.0,bottom
C25,50.66,-76.965,270.0,bottom
C26,59.57,-72.805,270.0,bottom
C27,55.14,-72.765,270.0,bottom
C28,50.66,-72.745,270.0,bottom
C29,59.58,-68.56,270.0,bottom
C3,69.745,-88.12,0.0,bottom
C30,55.13,-68.55,270.0,bottom
C31,50.66,-68.52,270.0,bottom
C32,50.69,-64.28,270.0,bottom
C33,65.1,-55.835,270.0,bottom
C34,65.1,-60.375,270.0,bottom
C35,59.56,-64.31,270.0,bottom
C36,55.09,-64.3,270.0,bottom
C37,65.07,-51.435,270.0,bottom
C38,70.61,-55.535,270.0,bottom
C39,70.65,-52.155,270.0,bottom
C4,75.5,-82.4,180.0,bottom
C40,76.37,-52.06,270.0,bottom
C41,76.37,-56.5,270.0,bottom
C42,86.27,-63.985,270.0,bottom
C43,81.87,-63.815,270.0,bottom
C44,76.39,-60.98,270.0,bottom
C45,86.2925,-68.5225,270.0,bottom
C46,81.9025,-68.4525,270.0,bottom
C47,90.66,-63.965,270.0,bottom
C48,86.27,-72.935,270.0,bottom
C49,81.84,-72.825,270.0,bottom
C5,75.44,-83.375,180.0,bottom
C50,90.6725,-68.6725,270.0,bottom
C51,90.7125,-77.5375,270.0,bottom
C52,90.69,-72.83,270.0,bottom
C53,90.68,-81.665,270.0,bottom
C54,86.18,-81.64,270.0,bottom
C55,90.675,-85.955,270.0,bottom
C56,86.2,-85.94,270.0,bottom
C57,81.8375,-85.9675,270.0,bottom
C58,77.5,-92.275,270.0,bottom
C59,62.92,-77.32,90.0,bottom
C6,65.67,-76.32,0.0,bottom
C60,69.53,-60.47,90.0,bottom
C61,88.22,-77.71,180.0,bottom
C62,62.95,-80.65,270.0,bottom
C63,88.22,-79.07,180.0,bottom
C64,63.97,-73.64,270.0,bottom
C65,80.775,-86.025,270.0,bottom
C66,64.03,-86.93,270.0,bottom
C67,67.775,-93.495,90.0,bottom
C68,67.775,-91.59,270.0,bottom
C69,69.76,-52.36,270.0,bottom
C7,77.8,-82.6,90.0,bottom
C70,75.48,-52.265,270.0,bottom
C71,80.9825,-68.2775,270.0,bottom
C72,80.99,-64.01,270.0,bottom
C73,75.43,-60.98,270.0,bottom
C74,63.98,-64.21,270.0,bottom
C75,63.97,-68.69,270.0,bottom
C76,88.22,-76.42,180.0,bottom
C8,73.86,-68.96,90.0,bottom
C9,78.94,-76.47,180.0,bottom
D1,51.125,-51.125,225.0,top
D10,51.125,-91.625,225.0,top
D100,64.625,-51.125,225.0,top
D101,62.375,-51.125,225.0,top
D102,62.375,-55.625,225.0,top
D103,62.375,-60.125,225.0,top
D104,62.375,-64.625,225.0,top
D105,62.375,-69.125,225.0,top
D106,62.375,-73.625,225.0,top
D107,62.375,-78.125,225.0,top
D108,62.375,-82.625,225.0,top
D109,62.375,-87.125,225.0,top
D11,55.625,-91.625,225.0,top
D110,62.375,-91.625,225.0,top
D111,66.875,-91.625,225.0,top
D112,66.875,-87.125,225.0,top
D113,66.875,-82.625,225.0,top
D114,66.875,-78.125,225.0,top
D115,66.875,-73.625,225.0,top
D116,66.875,-69.125,225.0,top
D117,66.875,-64.625,225.0,top
D118,66.875,-60.125,225.0,top
D119,66.875,-55.625,225.0,top
D12,55.625,-87.125,225.0,top
D120,66.875,-51.125,225.0,top
D121,60.125,-53.375,225.0,top
D122,60.125,-57.875,225.0,top
D123,60.125,-62.375,225.0,top
D124,60.125,-66.875,225.0,top
D125,60.125,-71.375,225.0,top
D126,60.125,-75.875,225.0,top
D127,60.125,-80.375,225.0,top
D128,60.125,-84.875,225.0,top
D129,60.125,-89.375,225.0,top
D13,55.625,-82.625,225.0,top
D130,60.125,-93.875,225.0,top
D131,64.625,-93.875,225.0,top
D132,64.625,-89.375,225.0,top
D133,64.625,-84.875,225.0,top
D134,64.625,-80.375,225.0,top
D135,64.625,-75.875,225.0,top
D136,64.625,-71.375,225.0,top
D137,64.625,-66.875,225.0,top
D138,64.625,-62.375,225.0,top
D139,64.625,-57.875,225.0,top
D14,55.625,-78.125,225.0,top
D140,64.625,-53.375,225.0,top
D141,62.375,-53.375,225.0,top
D142,62.375,-57.875,225.0,top
D143,62.375,-62.375,225.0,top
D144,62.375,-66.875,225.0,top
D145,62.375,-71.375,225.0,top
D146,62.375,-75.875,225.0,top
D147,62.375,-80.375,225.0,top
D148,62.375,-84.875,225.0,top
D149,62.375,-89.375,225.0,top
D15,55.625,-73.625,225.0,top
D150,62.375,-93.875,225.0,top
D151,66.875,-93.875,225.0,top
D152,66.875,-89.375,225.0,top
D153,66.875,-84.875,225.0,top
D154,66.875,-80.375,225.0,top
D155,66.875,-75.875,225.0,top
D156,66.875,-71.375,225.0,top
D157,66.875,-66.875,225.0,top
D158,66.875,-62.375,225.0,top
D159,66.875,-57.875,225.0,top
D16,55.625,-69.125,225.0,top
D160,66.875,-53.375,225.0,top
D161,69.125,-51.125,225.0,top
D162,69.125,-55.625,225.0,top
D163,69.125,-60.125,225.0,top
D164,69.125,-64.625,225.0,top
D165,69.125,-69.125,225.0,top
D166,69.125,-73.625,225.0,top
D167,69.125,-78.125,225.0,top
D168,69.125,-82.625,225.0,top
D169,69.125,-87.125,225.0,top
D17,55.625,-64.625,225.0,top
D170,69.125,-91.625,225.0,top
D171,73.625,-91.625,225.0,top
D172,73.625,-87.125,225.0,top
D173,73.625,-82.625,225.0,top
D174,73.625,-78.125,225.0,top
D175,73.625,-73.625,225.0,top
D176,73.625,-69.125,225.0,top
D177,73.625,-64.625,225.0,top
D178,73.625,-60.125,225.0,top
D179,73.625,-55.625,225.0,top
D18,55.625,-60.125,225.0,top
D180,73.625,-51.125,225.0,top
D181,71.375,-51.125,225.0,top
D182,71.375,-55.625,225.0,top
D183,71.375,-60.125,225.0,top
D184,71.375,-64.625,225.0,top
D185,71.375,-69.125,225.0,top
D186,71.375,-73.625,225.0,top
D187,71.375,-78.125,225.0,top
D188,71.375,-82.625,225.0,top
D189,71.375,-87.125,225.0,top
D19,55.625,-55.625,225.0,top
D190,71.375,-91.625,225.0,top
D191,75.875,-91.625,225.0,top
D192,75.875,-87.125,225.0,top
D193,75.875,-82.625,225.0,top
D194,75.875,-78.125,225.0,top
D195,75.875,-73.625,225.0,top
D196,75.875,-69.125,225.0,top
D197,75.875,-64.625,225.0,top
D198,75.875,-60.125,225.0,top
D199,75.875,-55.625,225.0,top
D2,51.125,-55.625,225.0,top
