Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",87.870000,-75.760000,90.000000,bottom
"C2","10uF","C_0402_1005Metric",85.240000,-73.090000,0.000000,bottom
"C3","0.1uF","C_0201_0603Metric",54.025000,-68.570000,0.000000,bottom
"C4","20pF","C_0201_0603Metric",60.140000,-76.210000,0.000000,bottom
"C5","20pF","C_0201_0603Metric",59.125000,-71.010000,180.000000,bottom
"C6","1uF","C_0201_0603Metric",75.350000,-69.340000,-90.000000,bottom
"C7","0.1uF","C_0201_0603Metric",74.975000,-70.680000,180.000000,bottom
"C8","0.1uF","C_0201_0603Metric",64.820000,-71.710000,0.000000,bottom
"C9","1uF","C_0201_0603Metric",63.895000,-70.070000,0.000000,bottom
"C10","1uF","C_0201_0603Metric",85.225000,-72.130000,180.000000,bottom
"C11","0.1uF","C_0201_0603Metric",73.125000,-77.300000,180.000000,bottom
"C12","0.1uF","C_0201_0603Metric",69.000000,-77.755000,90.000000,bottom
"C13","0.1uF","C_0201_0603Metric",64.830000,-72.550000,0.000000,bottom
"C14","0.1uF","C_0201_0603Metric",69.010000,-67.755000,-90.000000,bottom
"C15","0.1uF","C_0201_0603Metric",72.760000,-67.775000,-90.000000,bottom
"C16","0.1uF","C_0201_0603Metric",74.530000,-69.340000,-90.000000,bottom
"C17","0.1uF","C_0201_0603Metric",74.890000,-71.870000,180.000000,bottom
"C18","0.1uF","C_0201_0603Metric",64.815000,-70.920000,0.000000,bottom
"C19","0.1uF","C_0201_0603Metric",80.940000,-73.770000,90.000000,bottom
"C20","0.1uF","C_0201_0603Metric",74.890000,-72.630000,180.000000,bottom
"J1","Conn_01x05","PinHeader_1x5_M20-8890545R",82.700000,-85.217000,0.000000,bottom
"J2","Conn_01x05","PinHeader_1x5_M20-8890545R",57.300000,-85.217000,0.000000,bottom
"J3","Conn_01x05","ConnRcpt_1x5_SMH-105-02-X-S",82.700000,-53.900000,0.000000,bottom
"J4","Conn_01x05","ConnRcpt_1x5_SMH-105-02-X-S",57.300000,-53.900000,0.000000,bottom
"J5","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",70.000000,-87.200000,180.000000,bottom
"Q1","1xPNP and 1xNPN","SOT-963",53.505000,-64.690000,180.000000,bottom
